,Primary_Key,State,Year,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region,,,
1621,1989_WISCONSIN,Wisconsin,1989,,,,,,,,,,0,12508,62188,59837,51757,56022,782905,,,,,Midwest,,,
1628,1989_WYOMING,Wyoming,1989,,,,,,,,,,0,,7865,8126,6959,6281,97172,,,,,West,,,
1279,1990_ALABAMA,Alabama,1990,,,,,,,,,,0,,54067,58666,57024,42031,721806,,253,,,South,,,
1286,1990_ALASKA,Alaska,1990,,,,,,,,,,0,1713,10107,9487,7967,6486,113903,,,,,West,,,
1293,1990_ARIZONA,Arizona,1990,,,,,,,,,,0,1693,53839,53041,45802,34645,639853,,260,,,West,,,
1300,1990_ARKANSAS,Arkansas,1990,,,,,,,,,,0,,34052,34438,34384,27734,436286,,256,,,South,,,
1307,1990_CALIFORNIA,California,1990,,,,,,,,,,0,,423740,399293,347479,244142,4950474,,256,,,West,,,
1314,1990_COLORADO,Colorado,1990,,,,,,,,,,0,4351,46337,47341,41075,33582,574213,,267,,,West,,,
1321,1990_CONNECTICUT,Connecticut,1990,,,,,,,,,,0,5185,40594,36333,32382,27859,469123,,270,,,Northeast,,,
1328,1990_DELAWARE,Delaware,1990,,,,,,,,,,0,344,7980,8236,7256,5897,99658,,261,,,South,,,
1342,1990_FLORIDA,Florida,1990,,,,,,,,,,0,20184,163209,150965,133621,94776,1861592,,255,,,South,,,
1349,1990_GEORGIA,Georgia,1990,,,,,,,,,,0,604,97208,96123,86259,62379,1151687,,259,,,South,,,
